Title,Author,Publication,Date,Year,URL,Bibcode,DOI,Instruments
Galactic winds and stellar populations in Lyman α emitting galaxies at z ̃ 3.1,McLinden E. | Rhoads J. | Malhotra S. | et. al.,MNRAS 439 446,2014 03,2014,arXiv:1402.5227,2014MNRAS.439..446M,10.1093/mnras/stu023,{'nirspec': 28}
New Analyses of Star-to-Star Abundance Variations among Bright Giants in the Mildly Metal-poor Globular Cluster M5,Ivans I. | Kraft R. | Sneden C. | et. al.,AJ 122 1438,2001 09,2001,arXiv:astro-ph/0106249,2001AJ....122.1438I,10.1086/322108,{}
Robotic Laser Adaptive Optics Imaging of 715 Kepler Exoplanet Candidates Using Robo-AO,Law N. | Morton T. | Baranec C. | et. al.,ApJ 791 35,2014 08,2014,arXiv:1312.4958,2014ApJ...791...35L,10.1088/0004-637X/791/1/35,{'nirc': 2}
Feedback in the Antennae Galaxies (NGC 4038/9). I. High-Resolution Infrared Spectroscopy of Winds from Super Star Clusters,Gilbert A. | Graham J.,ApJ 668 168,2007 10,2007,arXiv:0706.3935,2007ApJ...668..168G,10.1086/520910,{'nirspec': 6}
Vigorous Star Formation with Low Efficiency in Massive Disk Galaxies at z = 1.5,Daddi E. | Dannerbauer H. | Elbaz D. | et. al.,ApJL 673 L21,2008 01,2008,arXiv:0711.4995,2008ApJ...673L..21D,10.1086/527377,{'deimos': 1}
The TW Hydrae Association: Discovery of T Tauri Star Members Near HR 4796,Zuckerman B. | Webb R. | Schwartz M.,ApJL 549 L233,2001 03,2001,,2001ApJ...549L.233Z,10.1086/319155,{'lris': 6}
A young binary brown dwarf in the R-CrA star formation region,Bouy H. | Brandner W. | Martín E. | et. al.,A&A 424 213,2004 09,2004,arXiv:astro-ph/0404576,2004A&A...424..213B,10.1051/0004-6361:20035954,{}
Emerging trends and a comet taxonomy based on the volatile chemistry measured in thirty comets with high-resolution infrared spectroscopy between 1997 and 2013,Dello Russo N. | Kawakita H. | Vervack R.,Icar 278 301,2016 11,2016,,2016Icar..278..301D,10.1016/j.icarus.2016.05.039,{'nirspec': 6}
Lymanα Emission from a Luminous z = 8.68 Galaxy: Implications for Galaxies as Tracers of Cosmic Reionization,Zitrin A. | Labbé I. | Belli S. | et. al.,ApJL 810 L12,2015 09,2015,arXiv:1507.02679,2015ApJ...810L..12Z,10.1088/2041-8205/810/1/L12,{'mosfire': 6}
Very Low Mass Stellar and Substellar Companions to Solar-like Stars from MARVELS. IV. A Candidate Brown Dwarf or Low-mass Stellar Companion to HIP 67526,Jiang P. | Ge J. | Cargile P. | et. al.,AJ 146 65,2013 09,2013,arXiv:1307.3308,2013AJ....146...65J,10.1088/0004-6256/146/3/65,{'nirc': 2}
